Label,Precision,Recall,F1-Score,AUC,AP,Optimal Threshold,Support,Prevalence
campaignParaphernalia,0.84,0.9130434782608695,0.875,0.7703804347826086,0.8971482523278133,0.30000000000000004,46,0.7419355
formalAttire,0.6756756756756757,0.7352941176470589,0.704225352112676,0.657563025210084,0.6337781618589279,0.30000000000000004,34,0.5483871
informalAttire,0.6956521739130435,0.5925925925925926,0.64,0.6751322751322751,0.6933571717880278,0.40000000000000013,27,0.43548387
identifiableEntourage,0.6666666666666666,0.5,0.5714285714285714,0.8885869565217392,0.703837714218149,0.45000000000000007,16,0.2580645
patrioticSymbols,0.5454545454545454,0.42857142857142855,0.48,0.7946428571428571,0.567129960326366,0.15000000000000002,14,0.22580644
largeAudiences,0.75,0.2727272727272727,0.4,0.910873440285205,0.6468128004270149,0.1,11,0.17741935
interactionWithSupporters,0.3333333333333333,0.2,0.25,0.8315789473684211,0.3484593837535014,0.30000000000000004,5,0.08064516
ordinaryPeople,0.5,0.1,0.16666666666666666,0.8057692307692308,0.524156746031746,0.25000000000000006,10,0.16129032
physicalEmbraces,0.0,0.0,0.0,0.8852459016393442,0.125,0.1,1,0.016129032
children,0.0,0.0,0.0,0.7112068965517242,0.3883741258741259,0.25000000000000006,4,0.06451613
affinityGestures,0.0,0.0,0.0,0.40948275862068967,0.08322240631562665,0.1,4,0.06451613
admiringPeople,0.0,0.0,0.0,0.8032786885245902,0.07692307692307693,0.1,1,0.016129032
